Model,FeatureSelection,Scaler,Number of features,Rmse,R2 Score(train),R2 Score(test),Params
LinearRegression,SFS,StandardScaler(),12,212985.46901399686,0.6979856838140929,0.6999351994503056,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,MinMaxScaler(),12,212985.46901399692,0.697985683814093,0.6999351994503055,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,RobustScaler(),12,212985.46901399692,0.697985683814093,0.6999351994503055,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,-,16,214861.15145618017,0.6956380193917115,0.6946268131123365,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,StandardScaler(),16,214861.15145618038,0.6956380193917115,0.6946268131123359,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,RobustScaler(),16,214861.15145618038,0.6956380193917115,0.6946268131123359,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,MinMaxScaler(),16,214861.15145618035,0.6956380193917115,0.6946268131123359,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,StandardScaler(),7,217277.00694995397,0.6869081859351706,0.6877210977513557,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,MinMaxScaler(),7,217277.00694995394,0.6869081859351706,0.6877210977513557,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,RobustScaler(),7,217277.00694995403,0.6869081859351706,0.6877210977513555,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SFS,-,7,217277.00694995414,0.6869081859351708,0.6877210977513553,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,-,12,225084.9962971115,0.6606201833160985,0.6648739425422127,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,RobustScaler(),12,225139.57205371815,0.6607205535489455,0.6647114086036594,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,MinMaxScaler(),12,225244.67208879662,0.6607580835285602,0.6643982955642798,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,StandardScaler(),12,225408.8128802262,0.6607566721550162,0.6639089965275495,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,-,7,231262.55449190727,0.6368753286322111,0.6462261395177503,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,MinMaxScaler(),7,231262.5544919078,0.6368753286322111,0.6462261395177488,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,SelectKBest,RobustScaler(),7,231262.5544919078,0.6368753286322111,0.6462261395177487,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
