Model,FeatureSelection,Scaler,Number of features,Rmse,R2 Score(train),R2 Score(test),Params
RandomForestRegressor,SelectKBest,StandardScaler(),12,181234.64847201607,0.9744401482709412,0.7827311011303889,
RandomForestRegressor,SelectKBest,RobustScaler(),12,181468.41752200856,0.9743959373671446,0.7821702425834541,
RandomForestRegressor,SelectKBest,-,12,181483.30345687465,0.9743900520893396,0.782134503774233,
RandomForestRegressor,SelectKBest,MinMaxScaler(),12,181526.0247492083,0.9743893062338638,0.7820319203313295,
RandomForestRegressor,SelectKBest,StandardScaler(),7,187496.22471316523,0.9715509738675312,0.7674586663721065,
RandomForestRegressor,SelectKBest,RobustScaler(),7,187544.9322853748,0.9715395192990202,0.7673378319925028,
RandomForestRegressor,SelectKBest,-,7,187560.4031757061,0.971535152564034,0.7672994450384478,
RandomForestRegressor,SelectKBest,MinMaxScaler(),7,187765.94834159737,0.9715423807505452,0.7667891381529871,
RandomForestRegressor,VarianceThreshold,StandardScaler(),19,191218.83146313427,0.973253368099528,0.758133108199883,
RandomForestRegressor,VarianceThreshold,RobustScaler(),13,191901.0530544405,0.9713292987747016,0.7564041867716107,
RandomForestRegressor,VarianceThreshold,-,13,192103.77498841743,0.971337425627431,0.7558892516322284,
RandomForestRegressor,VarianceThreshold,-,19,192381.26873284573,0.9733271755087392,0.7551835067270368,
RandomForestRegressor,VarianceThreshold,StandardScaler(),16,192483.45718007136,0.9729809329487712,0.7549233560189957,
RandomForestRegressor,VarianceThreshold,StandardScaler(),13,192672.86906884308,0.9714688554962766,0.7544407870694658,
RandomForestRegressor,VarianceThreshold,-,16,192691.5300771502,0.9731882497776992,0.7543932183127018,
RandomForestRegressor,VarianceThreshold,MinMaxScaler(),16,193266.84665844127,0.973260973373791,0.7529244189817116,
RandomForestRegressor,VarianceThreshold,RobustScaler(),19,193582.792834534,0.973160854006762,0.7521159368914742,
RandomForestRegressor,VarianceThreshold,RobustScaler(),16,193626.0006521273,0.9734074688980848,0.75200526874246,
RandomForestRegressor,VarianceThreshold,MinMaxScaler(),13,193816.2721873685,0.9714044048754734,0.7515176325518722,
RandomForestRegressor,VarianceThreshold,MinMaxScaler(),19,194541.0533530238,0.9731653213625192,0.7496557447591434,
RandomForestRegressor,SFS,MinMaxScaler(),7,142285.09906188288,0.923043112298784,0.866083544794568,"{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
RandomForestRegressor,SFS,RobustScaler(),7,142286.50390200465,0.923070568946762,0.8660809003554915,"{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
RandomForestRegressor,SFS,MinMaxScaler(),16,142333.83062901453,0.9329671425228588,0.865991798345845,"{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 1.0, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
