Model,FeatureSelection,Scaler,Number of features,Rmse,R2 Score(train),R2 Score(test),Params
AdaBoostRegressor,SelectKBest,RobustScaler(),12,414766.39328671264,-0.214747751283524,-0.1379474949010575,"{'base_estimator': None, 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': 42}"
AdaBoostRegressor,SelectKBest,RobustScaler(),19,225969.97991475856,0.7114925128020075,0.6622334811996782,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,SelectKBest,StandardScaler(),19,226141.04844204063,0.7111054514385169,0.6617218814523733,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,SelectKBest,MinMaxScaler(),19,226764.3548610068,0.7103077956341315,0.6598545379915393,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,-,-,22,227058.200407749,0.7096627513367993,0.658972432970957,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,SFS,-,19,227230.993681638,0.7127320187082715,0.6584531855553516,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,SFS,StandardScaler(),12,227647.18242748617,0.7107802769166697,0.6572009081721333,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,SelectKBest,-,19,227743.6546203533,0.7108285665844485,0.6569103042027402,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,SFS,-,7,228020.225545923,0.7087193893011858,0.6560765048939907,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,SFS,MinMaxScaler(),12,228134.2835325208,0.7094688215410028,0.6557323509293603,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,SFS,MinMaxScaler(),7,228260.64270555228,0.7085179031179518,0.6553508789116513,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,SFS,-,12,228274.1750365956,0.7096996678281202,0.6553100129595198,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,SFS,StandardScaler(),19,228275.99128862,0.7105725306175517,0.6553045279205119,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,SFS,StandardScaler(),16,228338.1515569281,0.7116674539248986,0.6551167790456431,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,SFS,-,16,228371.23660170825,0.7112393174401399,0.6550168281316887,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
